code,name,amount,vol_ratio,vol_ratio_ma,slope,composite_score,direction,signal,suggestion,checks_passed,percentile
sz300750,宁德时代,154.79,1.11,0.84,0.0428,0.88,正常,一般信号,量能正常，观望或持仓,False,68.3
sz002156,通富微电,153.43,1.55,1.49,0.0524,1.57,放量上涨,中等信号,量能高于常态，结合走势确认,False,77.5
sz300274,阳光电源,149.8,1.08,1.29,-0.153,1.09,正常,一般信号,量能正常，观望或持仓,False,66.7
sz002371,北方华创,137.35,1.37,1.3,-0.0489,1.24,正常,中等信号,量能高于常态，结合走势确认,False,85.0
sz300136,信维通信,133.39,0.99,0.91,-0.0129,0.9,正常,偏弱,量能偏低，不急于进场,False,45.0
sz002463,沪电股份,121.17,1.47,1.14,0.1509,1.31,正常,中等信号,量能高于常态，结合走势确认,False,88.3
sh600522,中天科技,119.14,0.93,0.99,-0.0867,0.9,正常,偏弱,量能偏低，不急于进场,False,36.7
sh688525,佰维存储,114.44,0.94,0.92,-0.0707,0.85,正常,偏弱,量能偏低，不急于进场,False,45.8
sz002050,三花智控,109.76,1.24,1.4,-0.1306,1.22,正常,一般信号,量能正常，观望或持仓,False,71.7
sz300408,三环集团,104.79,2.26,1.69,0.2578,2.13,放量震荡,强信号,量能处于自身历史高位，重点关注,True,99.0
sh600487,亨通光电,104.48,0.81,0.87,-0.0018,0.87,正常,弱势信号,量能极度萎缩，谨慎对待,False,18.3
sz301308,江波龙,101.05,0.85,0.85,-0.07,0.79,正常,偏弱,量能偏低，不急于进场,False,36.7
sh688347,华虹公司,99.77,1.6,1.5,0.0217,1.53,放量上涨,中等信号,量能高于常态，结合走势确认,False,87.5
sz300475,香农芯创,99.4,1.05,0.84,-0.02,0.83,正常,一般信号,量能正常，观望或持仓,False,61.7
sh688072,拓荆科技,97.23,1.88,1.8,0.0286,1.85,放量上涨,强信号,量能处于自身历史高位，重点关注,False,96.7
sh688820,盛合晶微,95.84,0.9,0.92,-0.0404,0.88,正常,中等信号,量能高于常态，结合走势确认,False,85.7
sz000021,深科技,94.37,1.73,2.23,0.05,2.34,放量上涨,中等信号,量能高于常态，结合走势确认,False,85.8
sz300604,长川科技,92.08,1.14,1.22,-0.0264,1.19,正常,一般信号,量能正常，观望或持仓,False,65.8
sh600183,生益科技,91.02,1.27,1.13,0.0162,1.15,正常,中等信号,量能高于常态，结合走势确认,False,78.3
sz001309,德明利,90.96,0.83,0.86,-0.0701,0.8,正常,偏弱,量能偏低，不急于进场,False,40.0
sh601899,紫金矿业,89.46,0.93,0.88,-0.0686,0.82,正常,偏弱,量能偏低，不急于进场,False,45.0
sz002709,天赐材料,88.61,1.18,0.95,0.0273,0.98,正常,一般信号,量能正常，观望或持仓,False,67.5
sz300433,蓝思科技,87.01,1.51,1.62,-0.1911,1.31,放量上涨,中等信号,量能高于常态，结合走势确认,False,77.5
sz002407,多氟多,84.39,1.22,1.39,-0.0561,1.31,正常,一般信号,量能正常，观望或持仓,False,69.2
sz300395,菲利华,77.36,1.18,0.99,0.0425,1.03,正常,一般信号,量能正常，观望或持仓,False,67.5
sz002436,兴森科技,74.18,1.28,1.15,0.0628,1.22,正常,一般信号,量能正常，观望或持仓,False,73.3
sz000657,中钨高新,73.21,1.29,0.98,0.1151,1.1,正常,中等信号,量能高于常态，结合走势确认,False,80.8
sh603629,利通电子,70.63,1.02,0.85,0.0134,0.86,正常,一般信号,量能正常，观望或持仓,False,54.2
sz002428,云南锗业,70.48,0.75,0.82,-0.0418,0.79,正常,弱势信号,量能极度萎缩，谨慎对待,False,21.7
sh688521,芯原股份,69.86,0.86,0.88,-0.0043,0.87,正常,偏弱,量能偏低，不急于进场,False,30.0
sz300857,协创数据,68.27,0.88,0.75,0.01,0.76,正常,偏弱,量能偏低，不急于进场,False,41.7
sh603083,剑桥科技,66.53,0.98,0.87,0.0296,0.9,正常,一般信号,量能正常，观望或持仓,False,61.7
sz300059,东方财富,66.52,0.98,1.23,0.0321,1.27,正常,一般信号,量能正常，观望或持仓,False,60.8
sz002008,大族激光,65.73,0.83,1.01,-0.0253,0.99,正常,偏弱,量能偏低，不急于进场,False,30.8
sz300757,罗博特科,65.18,1.4,1.02,0.0041,1.03,正常,中等信号,量能高于常态，结合走势确认,False,85.0
sz002916,深南电路,64.73,1.44,1.15,0.1047,1.27,正常,中等信号,量能高于常态，结合走势确认,False,88.3
sh603019,中科曙光,63.53,0.9,0.89,-0.0871,0.82,正常,偏弱,量能偏低，不急于进场,False,39.2
sh601991,大唐发电,62.95,1.38,1.61,-0.4182,0.93,正常,中等信号,量能高于常态，结合走势确认,False,79.2
sz301269,华大九天,62.51,4.43,2.4,0.4885,3.57,放量上涨,强信号,量能处于自身历史高位，重点关注,True,99.0
sh603228,景旺电子,61.9,1.51,1.12,0.1153,1.25,放量上涨,中等信号,量能高于常态，结合走势确认,False,88.3
sz300657,弘信电子,61.8,1.95,2.5,0.2586,3.15,放量下跌,中等信号,量能高于常态，结合走势确认,True,87.5
sz300672,国科微,61.47,1.33,1.16,0.1244,1.31,正常,中等信号,量能高于常态，结合走势确认,False,75.8
sh688126,沪硅产业,61.41,1.64,2.08,0.015,2.11,放量上涨,中等信号,量能高于常态，结合走势确认,False,76.7
sh600176,中国巨石,61.15,1.05,1.01,-0.0095,1.0,正常,偏弱,量能偏低，不急于进场,False,46.7
sh600519,贵州茅台,59.79,0.98,0.96,-0.0313,0.93,正常,一般信号,量能正常，观望或持仓,False,53.3
sh688313,仕佳光子,59.08,0.9,0.87,0.0497,0.92,正常,偏弱,量能偏低，不急于进场,False,40.0
sz300285,国瓷材料,58.7,1.86,1.61,0.1742,1.89,放量上涨,强信号,量能处于自身历史高位，重点关注,True,90.8
sz002222,福晶科技,57.61,1.19,1.05,0.0212,1.07,正常,一般信号,量能正常，观望或持仓,False,65.8
sz002049,紫光国微,56.96,1.93,1.36,0.0648,1.44,放量上涨,强信号,量能处于自身历史高位，重点关注,False,94.2
sh603501,豪威集团,56.88,1.46,1.27,0.0293,1.31,正常,中等信号,量能高于常态，结合走势确认,False,80.8
sz301666,大普微,56.68,0.72,0.91,-0.0428,0.88,正常,偏弱,量能偏低，不急于进场,False,42.9
sh688498,源杰科技,56.34,1.29,1.3,-0.0474,1.24,正常,中等信号,量能高于常态，结合走势确认,False,85.8
sz000938,紫光股份,55.0,0.78,0.84,-0.0619,0.79,正常,弱势信号,量能极度萎缩，谨慎对待,False,21.7
sz000066,中国长城,54.89,0.69,0.93,-0.1262,0.81,缩量,弱势信号,量能极度萎缩，谨慎对待,False,24.2
sz000100,TCL科技,54.69,1.82,2.36,0.2691,3.0,放量震荡,强信号,量能处于自身历史高位，重点关注,True,90.8
sz300442,润泽科技,54.07,0.84,0.86,-0.1662,0.72,正常,偏弱,量能偏低，不急于进场,False,39.2
sz300346,南大光电,53.91,1.48,1.38,-0.0391,1.33,正常,中等信号,量能高于常态，结合走势确认,False,76.7
sh603601,再升科技,52.88,1.19,1.04,0.0667,1.11,正常,一般信号,量能正常，观望或持仓,False,70.8
sh600330,天通股份,52.57,0.84,0.68,-0.0183,0.67,正常,偏弱,量能偏低，不急于进场,False,35.0
sz300751,迈为股份,52.51,1.51,1.17,0.0337,1.21,放量上涨,中等信号,量能高于常态，结合走势确认,False,85.0
sh600111,北方稀土,52.06,0.69,0.78,-0.0701,0.72,缩量,偏弱,量能偏低，不急于进场,False,25.8
sh688110,东芯股份,51.92,1.28,1.27,0.0725,1.36,正常,中等信号,量能高于常态，结合走势确认,False,75.8
sz300058,蓝色光标,51.89,0.63,0.75,-0.0055,0.75,缩量,弱势信号,量能极度萎缩，谨慎对待,False,24.2
sh688183,生益电子,51.27,1.79,1.23,0.0855,1.34,放量震荡,强信号,量能处于自身历史高位，重点关注,False,95.0
sh603993,洛阳钼业,50.74,1.05,0.88,-0.0369,0.85,正常,一般信号,量能正常，观望或持仓,False,60.8
sh600105,永鼎股份,50.08,0.68,0.68,-0.029,0.66,缩量,弱势信号,量能极度萎缩，谨慎对待,False,17.5
sz002409,雅克科技,48.55,1.59,1.8,-0.1564,1.52,放量上涨,中等信号,量能高于常态，结合走势确认,False,85.8
sz002185,华天科技,48.35,1.23,1.94,-0.0689,1.81,正常,一般信号,量能正常，观望或持仓,False,68.3
sh688629,华丰科技,48.05,1.18,1.02,0.043,1.07,正常,一般信号,量能正常，观望或持仓,False,69.2
sz002149,西部材料,47.87,0.83,0.86,-0.0096,0.86,正常,偏弱,量能偏低，不急于进场,False,38.3
sh688048,长光华芯,47.61,0.85,0.87,0.0454,0.91,正常,偏弱,量能偏低，不急于进场,False,30.8
sz301396,宏景科技,47.47,1.51,0.88,0.1032,0.97,放量下跌,中等信号,量能高于常态，结合走势确认,False,88.3
sh601318,中国平安,46.95,0.99,0.97,-0.0733,0.9,正常,一般信号,量能正常，观望或持仓,False,59.2
sh601208,东材科技,46.27,1.02,1.02,0.051,1.07,正常,一般信号,量能正常，观望或持仓,False,55.0
sz000630,铜陵有色,46.27,2.12,1.23,0.139,1.4,放量上涨,强信号,量能处于自身历史高位，重点关注,False,96.7
sh688082,盛美上海,45.93,1.96,2.06,-0.0703,1.91,放量上涨,强信号,量能处于自身历史高位，重点关注,False,91.7
sh605376,博迁新材,45.93,2.14,1.56,0.1081,1.73,放量上涨,强信号,量能处于自身历史高位，重点关注,True,95.8
sz002273,水晶光电,45.93,1.38,1.25,0.0892,1.36,正常,中等信号,量能高于常态，结合走势确认,False,76.7
sz301526,国际复材,45.64,1.03,0.94,0.0674,1.0,正常,一般信号,量能正常，观望或持仓,False,56.7
sh603005,晶方科技,45.1,1.8,2.22,0.2209,2.72,放量上涨,中等信号,量能高于常态，结合走势确认,True,87.5
sh600118,中国卫星,44.8,0.75,0.78,-0.0371,0.75,正常,偏弱,量能偏低，不急于进场,False,33.3
sh600418,江淮汽车,44.8,2.22,1.11,0.0889,1.21,放量下跌,强信号,量能处于自身历史高位，重点关注,False,97.5
sz300033,同花顺,43.74,1.03,1.26,0.0469,1.32,正常,一般信号,量能正常，观望或持仓,False,57.5
sz002837,英维克,43.06,0.72,0.95,-0.0034,0.94,正常,弱势信号,量能极度萎缩，谨慎对待,False,23.3
sz002245,蔚蓝锂芯,42.92,2.23,1.64,0.0524,1.72,放量震荡,强信号,量能处于自身历史高位，重点关注,True,91.7
sh600396,华电辽能,42.58,0.94,0.79,-0.0295,0.76,正常,偏弱,量能偏低，不急于进场,False,37.5
sz300209,行云科技,42.4,1.26,0.91,0.0421,0.95,正常,一般信号,量能正常，观望或持仓,False,66.7
sh688027,国盾量子,42.29,2.51,1.69,0.2971,2.19,放量上涨,强信号,量能处于自身历史高位，重点关注,True,99.0
sz000977,浪潮信息,42.19,0.72,0.78,-0.0219,0.76,正常,弱势信号,量能极度萎缩，谨慎对待,False,23.3
sh600498,烽火通信,42.02,0.65,0.77,-0.0638,0.72,缩量,弱势信号,量能极度萎缩，谨慎对待,False,12.5
sh688017,绿的谐波,41.91,1.1,1.34,-0.2012,1.07,正常,一般信号,量能正常，观望或持仓,False,57.5
sh600601,方正科技,41.73,1.18,0.95,0.0575,1.01,正常,一般信号,量能正常，观望或持仓,False,68.3
sz300223,北京君正,41.58,0.93,0.96,-0.0048,0.95,正常,偏弱,量能偏低，不急于进场,False,45.8
sh601869,长飞光纤,41.55,0.67,0.72,-0.0571,0.68,缩量,弱势信号,量能极度萎缩，谨慎对待,False,13.3
sz300620,光库科技,41.4,0.86,0.79,-0.046,0.76,正常,偏弱,量能偏低，不急于进场,False,41.7
sh600276,恒瑞医药,41.32,0.97,0.97,-0.0139,0.96,正常,偏弱,量能偏低，不急于进场,False,48.3
sz300567,精测电子,41.09,1.43,1.3,-0.0059,1.29,正常,中等信号,量能高于常态，结合走势确认,False,84.2
sz300390,天华新能,40.97,0.64,0.8,-0.0329,0.78,缩量,弱势信号,量能极度萎缩，谨慎对待,False,13.3
sz300373,扬杰科技,40.87,1.87,1.47,0.097,1.61,放量上涨,强信号,量能处于自身历史高位，重点关注,False,92.5
sz002600,领益智造,40.83,1.07,1.47,-0.3448,0.96,正常,一般信号,量能正常，观望或持仓,False,59.2
sh600460,士兰微,40.51,1.8,1.53,0.0126,1.55,放量上涨,中等信号,量能高于常态，结合走势确认,False,85.8
sz300576,容大感光,40.09,3.32,2.17,-0.0841,1.99,放量上涨,强信号,量能处于自身历史高位，重点关注,False,95.8
sh688120,华海清科,39.97,1.37,1.45,-0.1334,1.26,正常,中等信号,量能高于常态，结合走势确认,False,79.2
sz002812,恩捷股份,39.85,1.25,0.89,0.0748,0.95,正常,中等信号,量能高于常态，结合走势确认,False,78.3
sz300548,长芯博创,39.79,0.97,0.9,-0.0018,0.9,正常,一般信号,量能正常，观望或持仓,False,58.3
sh600895,张江高科,39.7,2.36,2.37,0.1507,2.73,放量震荡,强信号,量能处于自身历史高位，重点关注,True,96.7
sz001896,豫能控股,39.4,1.3,1.13,0.0999,1.24,正常,一般信号,量能正常，观望或持仓,False,74.2
sz002851,麦格米特,39.27,1.29,0.92,-0.0171,0.91,正常,中等信号,量能高于常态，结合走势确认,False,78.3
sz002594,比亚迪,39.01,0.89,0.76,-0.0209,0.74,正常,偏弱,量能偏低，不急于进场,False,48.3
sz002929,润建股份,38.98,1.44,1.42,-0.1599,1.2,正常,一般信号,量能正常，观望或持仓,False,74.2
sz300054,鼎龙股份,38.91,1.11,1.09,-0.0098,1.08,正常,一般信号,量能正常，观望或持仓,False,61.7
sh688322,奥比中光,38.71,2.43,2.41,-0.0662,2.25,放量震荡,强信号,量能处于自身历史高位，重点关注,False,96.7
sh688361,中科飞测,38.37,1.47,1.66,-0.033,1.61,正常,中等信号,量能高于常态，结合走势确认,False,86.7
sz002015,协鑫能科,38.25,0.95,0.86,-0.0294,0.83,正常,偏弱,量能偏低，不急于进场,False,39.2
sz002202,金风科技,38.21,0.81,0.67,-0.0086,0.67,正常,偏弱,量能偏低，不急于进场,False,38.3
sz300570,太辰光,38.05,0.78,0.85,-0.0253,0.83,正常,弱势信号,量能极度萎缩，谨慎对待,False,22.5
sh603667,五洲新春,37.62,1.15,1.41,-0.2483,1.06,正常,一般信号,量能正常，观望或持仓,False,66.7
sh600246,万通发展,37.57,1.63,1.86,0.0734,1.99,放量震荡,中等信号,量能高于常态，结合走势确认,True,81.7
sh600989,宝丰能源,37.55,1.44,0.84,0.0114,0.85,正常,中等信号,量能高于常态，结合走势确认,False,75.8
sz301511,德福科技,37.49,0.77,0.8,0.0054,0.8,正常,偏弱,量能偏低，不急于进场,False,33.3
sh600580,卧龙电驱,37.2,1.79,1.51,-0.0935,1.37,放量上涨,强信号,量能处于自身历史高位，重点关注,False,91.7
sz300782,卓胜微,36.83,0.94,0.94,-0.0783,0.87,正常,偏弱,量能偏低，不急于进场,False,45.0
sh601872,招商轮船,36.8,1.28,0.86,0.0205,0.88,正常,中等信号,量能高于常态，结合走势确认,False,77.5
sh601126,四方股份,36.77,1.36,1.01,0.0204,1.03,正常,中等信号,量能高于常态，结合走势确认,False,88.3
sh688234,天岳先进,36.74,1.15,1.33,-0.1445,1.14,正常,一般信号,量能正常，观望或持仓,False,61.7
sz301013,利和兴,36.69,3.31,3.41,0.4988,5.11,放量震荡,强信号,量能处于自身历史高位，重点关注,True,96.7
sh603920,世运电路,36.57,1.12,0.99,0.0087,1.0,正常,一般信号,量能正常，观望或持仓,False,64.2
sz002421,达实智能,36.54,4.18,4.43,0.1474,5.08,放量上涨,强信号,量能处于自身历史高位，重点关注,True,97.5
sz002484,江海股份,36.37,1.15,1.12,-0.0425,1.07,正常,一般信号,量能正常，观望或持仓,False,64.2
sz301217,铜冠铜箔,36.25,0.79,0.66,0.0204,0.68,正常,偏弱,量能偏低，不急于进场,False,42.5
sz002364,中恒电气,35.79,1.04,0.86,0.0359,0.89,正常,一般信号,量能正常，观望或持仓,False,64.2
sz300661,圣邦股份,35.69,0.82,0.78,-0.0346,0.76,正常,偏弱,量能偏低，不急于进场,False,30.8
sh600703,三安光电,35.62,0.71,0.82,-0.106,0.74,正常,弱势信号,量能极度萎缩，谨慎对待,False,20.8
sz002466,天齐锂业,35.59,0.6,0.67,-0.0181,0.66,缩量,弱势信号,量能极度萎缩，谨慎对待,False,16.7
sh603459,红板科技,35.5,1.31,1.19,0.0796,1.29,正常,强信号,量能处于自身历史高位，重点关注,False,90.0
sz300438,鹏辉能源,35.33,1.03,0.93,0.0151,0.94,正常,一般信号,量能正常，观望或持仓,False,60.8
sz300503,昊志机电,35.25,1.46,1.59,0.1,1.75,正常,中等信号,量能高于常态，结合走势确认,False,76.7
sz300014,亿纬锂能,35.23,0.7,0.76,-0.0346,0.73,正常,弱势信号,量能极度萎缩，谨慎对待,False,22.5
sz300489,光智科技,34.98,2.15,1.0,0.1201,1.12,放量下跌,中等信号,量能高于常态，结合走势确认,False,88.3
sh600699,均胜电子,34.95,1.45,1.33,-0.0597,1.25,正常,中等信号,量能高于常态，结合走势确认,False,81.7
sz300179,四方达,34.92,1.95,1.34,0.1877,1.59,放量上涨,强信号,量能处于自身历史高位，重点关注,False,98.3
sz000960,锡业股份,34.84,1.13,0.88,0.0165,0.89,正常,一般信号,量能正常，观望或持仓,False,61.7
sh603256,宏和科技,34.79,0.88,0.98,0.0182,1.0,正常,偏弱,量能偏低，不急于进场,False,41.7
sz300666,江丰电子,34.46,1.06,1.24,-0.0766,1.14,正常,一般信号,量能正常，观望或持仓,False,57.5
sz300593,新雷能,34.42,3.06,1.83,0.2325,2.26,放量上涨,强信号,量能处于自身历史高位，重点关注,True,99.0
sz300323,华灿光电,34.25,1.27,1.62,-0.0462,1.55,正常,一般信号,量能正常，观望或持仓,False,64.2
sh600089,特变电工,34.23,0.72,0.68,-0.0438,0.65,正常,偏弱,量能偏低，不急于进场,False,39.2
sz002465,海格通信,34.19,1.95,1.5,-0.0346,1.45,放量上涨,中等信号,量能高于常态，结合走势确认,False,85.0
sz000062,深圳华强,34.19,1.08,0.77,0.0462,0.8,正常,一般信号,量能正常，观望或持仓,False,54.2
sz002080,中材科技,34.09,0.91,0.82,-0.0014,0.81,正常,偏弱,量能偏低，不急于进场,False,45.8
sh688795,摩尔线程,33.98,1.2,0.97,-0.0069,0.96,正常,中等信号,量能高于常态，结合走势确认,False,78.9
sh603799,华友钴业,33.71,0.74,0.74,0.0157,0.75,正常,偏弱,量能偏低，不急于进场,False,28.3
sz000063,中兴通讯,33.69,0.67,0.86,-0.0691,0.8,缩量,弱势信号,量能极度萎缩，谨慎对待,False,20.8
sh600030,中信证券,33.66,0.86,0.96,0.0192,0.98,正常,偏弱,量能偏低，不急于进场,False,45.0
sz300124,汇川技术,33.62,0.83,0.91,-0.0901,0.83,正常,偏弱,量能偏低，不急于进场,False,28.3
sh688362,甬矽电子,33.41,2.1,1.72,-0.0077,1.71,放量上涨,强信号,量能处于自身历史高位，重点关注,False,95.0
sz002297,博云新材,33.22,0.68,0.82,-0.0114,0.81,缩量,偏弱,量能偏低，不急于进场,False,30.8
sh688167,炬光科技,33.2,1.07,0.99,-0.0098,0.98,正常,一般信号,量能正常，观望或持仓,False,57.5
sz300623,捷捷微电,32.9,2.77,1.89,0.1331,2.14,放量上涨,强信号,量能处于自身历史高位，重点关注,True,97.5
sz002491,通鼎互联,32.71,0.87,0.89,-0.0584,0.84,正常,偏弱,量能偏低，不急于进场,False,40.8
sh603618,杭电股份,32.64,1.01,0.98,0.0345,1.02,正常,一般信号,量能正常，观望或持仓,False,57.5
sh600186,莲花控股,32.18,0.8,0.94,0.0096,0.95,正常,偏弱,量能偏低，不急于进场,False,29.2
sz300602,飞荣达,32.07,2.46,1.53,0.1169,1.7,放量上涨,强信号,量能处于自身历史高位，重点关注,True,98.3
sh603259,药明康德,31.89,0.67,0.79,-0.0004,0.79,缩量,弱势信号,量能极度萎缩，谨慎对待,False,9.2
sz002138,顺络电子,31.82,1.89,1.78,0.101,1.96,放量上涨,强信号,量能处于自身历史高位，重点关注,True,96.7
sh688037,芯源微,31.79,1.03,0.97,-0.073,0.9,正常,一般信号,量能正常，观望或持仓,False,58.3
sz300903,科翔股份,31.78,0.97,0.93,0.0044,0.94,正常,一般信号,量能正常，观望或持仓,False,50.8
sh601615,明阳智能,31.76,1.85,1.38,0.0824,1.49,放量上涨,强信号,量能处于自身历史高位，重点关注,False,91.7
sh688249,晶合集成,31.54,1.26,1.37,-0.1369,1.19,正常,一般信号,量能正常，观望或持仓,False,73.3
sz301486,致尚科技,31.4,1.05,0.91,-0.0368,0.88,正常,一般信号,量能正常，观望或持仓,False,56.7
sh688766,普冉股份,31.37,0.94,0.94,-0.041,0.9,正常,一般信号,量能正常，观望或持仓,False,55.0
sz300037,新宙邦,31.31,1.38,1.28,0.1358,1.46,正常,中等信号,量能高于常态，结合走势确认,False,81.7
sh600667,太极实业,31.3,1.15,1.43,-0.1085,1.27,正常,一般信号,量能正常，观望或持仓,False,67.5
sz300184,力源信息,31.3,1.48,0.98,0.073,1.05,正常,中等信号,量能高于常态，结合走势确认,False,79.2
sh601689,拓普集团,31.21,0.92,1.21,-0.248,0.91,正常,偏弱,量能偏低，不急于进场,False,42.5
sz300398,飞凯材料,31.06,1.27,1.07,0.0103,1.08,正常,一般信号,量能正常，观望或持仓,False,67.5
sh600673,东阳光,31.04,0.91,0.96,0.0602,1.02,正常,偏弱,量能偏低，不急于进场,False,48.3
sz301358,湖南裕能,30.53,0.94,0.8,-0.0054,0.8,正常,一般信号,量能正常，观望或持仓,False,50.0
sz002460,赣锋锂业,30.48,0.6,0.74,-0.0259,0.73,缩量,弱势信号,量能极度萎缩，谨慎对待,False,14.2
sz000338,潍柴动力,30.48,0.72,0.82,-0.0293,0.79,正常,弱势信号,量能极度萎缩，谨慎对待,False,24.2
sh600150,中国船舶,30.3,0.56,0.68,-0.0612,0.64,缩量,弱势信号,量能极度萎缩，谨慎对待,False,5.0
sz301171,易点天下,30.14,1.03,1.26,-0.1918,1.02,正常,一般信号,量能正常，观望或持仓,False,57.5
